Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Total Value,Price per Unit (sold),Approx. Total Revenue(INR),Production Date,Expiration Date
Mumbai,446.51,54,Small,2022-11-25,3,Curd,Nestle,692.43,87.99,15,Frozen,747,Chennai,Online,87,98,163,60926.91569999999,90.3404814806623,67484.33966605474,2022-11-21,2022-12-06
Delhi,187.1,22,Small,2023-09-28,6,Milk,Amul,517.59,50.77,24,Cold,359,Bangalore,Retail,55,92,172,26278.044300000005,51.12902256876212,18355.3191021856,2023-09-27,2023-10-21
Delhi,138.88,25,Medium,2019-09-03,6,Cheese,Mother Dairy,900.52,64.5,36,Cold,116,Bangalore,Retail,154,36,50,58083.54,64.27197303118861,7455.548871617879,2019-08-30,2019-10-05
Delhi,65.84,95,Medium,2021-05-06,3,Butter,Amul,975.66,84.5,21,Frozen,611,Bangalore,Wholesale,89,21,194,82443.27,80.4272383245001,49141.04261626956,2021-05-03,2021-05-24
Delhi,879.86,93,Large,2020-07-05,4,Butter,Nestle,828.81,59.28,46,Frozen,748,Delhi,Wholesale,399,26,83,49131.856799999994,59.65679145120709,44623.28000550291,2020-07-02,2020-08-17
Bangalore,274.65,22,Large,2023-08-31,2,Paneer,Nestle,993.05,75.83,42,Ambient,717,Mumbai,Online,293,33,186,75302.9815,77.15479559789196,55319.98844368853,2023-08-30,2023-10-11
Delhi,250.93,29,Large,2019-02-12,1,Butter,Mother Dairy,380.95,41.25,10,Ambient,83,Chennai,Retail,360,23,118,15714.1875,39.592043874515035,3286.139641584748,2019-02-09,2019-02-19
Bangalore,749.23,75,Large,2021-04-20,2,Butter,Mother Dairy,900.97,75.97,5,Ambient,598,Kolkata,Retail,436,64,120,68446.6909,79.43557749236254,47502.4753404328,2021-04-19,2021-04-24
Bangalore,354.02,108,Large,2023-10-13,7,Cheese,Mother Dairy,363.44,13.69,41,Frozen,115,Kolkata,Wholesale,195,82,135,4975.4936,13.130820215489166,1510.044324781254,2023-10-11,2023-11-21
Delhi,530.74,56,Medium,2019-06-28,10,Curd,LocalFarm,162.14,23.76,8,Frozen,565,Kolkata,Online,22,29,116,3852.4464,24.213047664942383,13680.371930692447,2019-06-25,2019-07-03
Chennai,204.39,28,Large,2023-01-20,5,Curd,Amul,640.31,67.36,35,Cold,388,Chennai,Online,82,64,48,43131.281599999995,67.52540140433048,26199.855744880228,2023-01-18,2023-02-22
Kolkata,961.76,54,Medium,2020-06-18,9,Cheese,Amul,482.24,50.41,15,Ambient,364,Kolkata,Retail,183,63,121,24309.718399999998,52.34669745510688,19054.197873658904,2020-06-16,2020-07-01
Mumbai,859.0,46,Large,2020-08-29,3,Butter,Amul,925.61,84.55,21,Ambient,461,Chennai,Retail,206,74,63,78260.32549999999,83.82366358250583,38642.708911535185,2020-08-25,2020-09-15
Bangalore,870.6,63,Small,2020-11-02,2,Milk,LocalFarm,517.58,40.78,11,Cold,470,Kolkata,Retail,222,37,87,21106.9124,40.81483899250781,19182.97432647867,2020-10-31,2020-11-11
Kolkata,436.44,15,Large,2022-06-21,4,Curd,Amul,931.25,79.05,56,Cold,253,Kolkata,Retail,87,30,170,73615.3125,79.46836146565002,20105.495450809456,2022-06-17,2022-08-12
Chennai,774.24,23,Small,2021-07-15,2,Cheese,Mother Dairy,124.7,22.52,39,Cold,694,Chennai,Wholesale,458,73,33,2808.244,23.36415535090451,16214.723813527731,2021-07-12,2021-08-20
Mumbai,186.68,13,Medium,2019-01-17,7,Milk,Amul,838.99,93.71,6,Ambient,176,Mumbai,Wholesale,52,20,168,78621.75289999999,96.51799568356704,16987.167240307797,2019-01-16,2019-01-22
Mumbai,58.19,95,Large,2022-02-09,10,Butter,LocalFarm,771.16,47.66,44,Cold,812,Chennai,Retail,201,72,50,36753.48559999999,46.61200288641487,37848.946343768876,2022-02-08,2022-03-24
Bangalore,68.97,64,Medium,2023-06-27,6,Cheese,LocalFarm,733.98,30.78,41,Frozen,47,Chennai,Online,199,99,89,22591.904400000003,32.181277444726916,1512.520039902165,2023-06-23,2023-08-03
Delhi,607.27,112,Large,2021-04-05,8,Curd,Amul,387.38,81.02,41,Frozen,491,Bangalore,Wholesale,194,97,178,31385.527599999998,83.07037556918196,40787.55440446834,2021-04-01,2021-05-12
Chennai,482.63,109,Medium,2023-06-10,5,Milk,LocalFarm,794.57,95.31,14,Frozen,600,Delhi,Retail,402,52,74,75730.4667,90.6592959743209,54395.57758459254,2023-06-08,2023-06-22
Bangalore,542.11,43,Large,2020-06-30,2,Milk,LocalFarm,509.13,92.63,16,Cold,477,Delhi,Retail,3,26,71,47160.711899999995,89.70053570033309,42787.15552905889,2020-06-26,2020-07-12
Chennai,57.09,36,Large,2021-11-19,4,Curd,Amul,729.44,31.41,21,Ambient,863,Mumbai,Online,412,44,183,22911.710400000004,32.527587135913016,28071.307698292934,2021-11-17,2021-12-08
Delhi,451.55,16,Small,2022-04-30,1,Milk,LocalFarm,574.62,70.48,50,Ambient,357,Mumbai,Online,428,88,188,40499.2176,71.50804485451818,25528.372013062988,2022-04-28,2022-06-17
Delhi,732.16,12,Medium,2020-03-12,2,Curd,LocalFarm,199.57,59.22,30,Cold,761,Mumbai,Retail,360,68,156,11818.535399999999,57.78763995707075,43976.39400733084,2020-03-08,2020-04-07
Bangalore,470.56,56,Medium,2019-06-28,4,Cheese,Amul,111.33,75.26,9,Cold,441,Delhi,Wholesale,20,93,32,8378.695800000001,72.78712307594215,32099.12127649049,2019-06-26,2019-07-05
Delhi,745.61,106,Medium,2020-09-07,6,Paneer,Mother Dairy,397.88,53.82,9,Ambient,394,Mumbai,Wholesale,309,23,68,21413.9016,51.918818875718934,20456.01463703326,2020-09-04,2020-09-13
Kolkata,271.37,11,Medium,2020-11-07,4,Butter,Mother Dairy,936.15,52.28,42,Frozen,881,Mumbai,Online,243,43,77,48941.922,51.329055277537876,45220.89769951087,2020-11-04,2020-12-16
Mumbai,822.48,115,Medium,2023-02-06,4,Cheese,LocalFarm,553.25,89.44,51,Frozen,668,Chennai,Wholesale,125,65,178,49482.68,93.00445265236317,62126.9743717786,2023-02-02,2023-03-25
Bangalore,609.01,89,Small,2020-09-25,10,Butter,Nestle,812.08,88.41,31,Ambient,643,Chennai,Wholesale,364,89,47,71795.9928,87.10194164023984,56006.54847467422,2020-09-23,2020-10-24
Chennai,250.22,34,Large,2022-03-03,10,Butter,Nestle,597.16,80.88,9,Cold,318,Delhi,Wholesale,200,31,135,48298.3008,82.17974616643532,26133.159280926433,2022-02-27,2022-03-08
Kolkata,274.88,69,Small,2021-03-12,2,Curd,Amul,960.01,73.44,12,Frozen,44,Chennai,Retail,51,81,192,70503.1344,70.58733814271362,3105.8428782793994,2021-03-09,2021-03-21
Bangalore,646.63,88,Medium,2019-11-08,9,Paneer,Amul,400.98,71.05,35,Frozen,625,Mumbai,Retail,242,95,61,28489.629,71.273093930686,44545.68370667875,2019-11-06,2019-12-11
Delhi,838.44,33,Medium,2023-10-26,10,Butter,Mother Dairy,104.2,15.06,37,Frozen,85,Chennai,Wholesale,495,81,151,1569.2520000000002,14.82336888669239,1259.986355368853,2023-10-22,2023-11-28
Delhi,444.85,24,Large,2019-01-25,8,Butter,Nestle,791.63,77.46,25,Cold,548,Bangalore,Retail,401,81,168,61319.659799999994,74.83039589599325,41007.0569510043,2019-01-24,2019-02-18
Delhi,295.39,104,Small,2020-01-06,8,Cheese,Amul,720.18,67.43,39,Cold,640,Chennai,Online,210,95,132,48561.7374,69.4379220371717,44440.27010378989,2020-01-04,2020-02-12
Delhi,873.66,23,Large,2020-06-08,5,Paneer,Nestle,551.16,37.22,25,Frozen,410,Delhi,Wholesale,144,77,123,20514.175199999998,38.394438167835816,15741.719648812685,2020-06-05,2020-06-30
Chennai,685.8,63,Large,2022-09-04,3,Paneer,Nestle,360.07,83.81,55,Cold,297,Mumbai,Wholesale,43,57,195,30177.4667,82.18635811508271,24409.348360179567,2022-09-03,2022-10-28
Kolkata,475.68,87,Small,2019-08-18,6,Butter,LocalFarm,228.85,84.92,19,Ambient,29,Mumbai,Online,106,87,75,19433.942,86.22578083969915,2500.5476443512753,2019-08-15,2019-09-03
Mumbai,513.51,15,Large,2022-01-30,9,Paneer,LocalFarm,508.16,93.9,40,Cold,365,Delhi,Wholesale,151,36,155,47716.224,92.90533848341325,33910.448546445834,2022-01-27,2022-03-08
Chennai,244.04,87,Small,2023-01-13,8,Cheese,Nestle,682.89,47.65,6,Ambient,160,Chennai,Wholesale,112,29,154,32539.708499999997,45.47942895549654,7276.708632879446,2023-01-09,2023-01-15
Chennai,645.46,90,Small,2020-01-13,7,Curd,Mother Dairy,599.94,59.61,34,Frozen,829,Mumbai,Wholesale,389,62,177,35762.4234,59.179481855204685,49059.790457964686,2020-01-10,2020-02-13
Mumbai,390.81,27,Medium,2021-06-06,8,Butter,Amul,465.62,91.54,32,Frozen,47,Mumbai,Online,222,52,133,42622.8548,92.23442908377831,4335.018166937581,2021-06-05,2021-07-07
Mumbai,995.86,29,Large,2022-05-11,4,Milk,Amul,562.71,38.51,21,Ambient,119,Bangalore,Retail,154,56,55,21669.9621,37.73609050887371,4490.594770555971,2022-05-07,2022-05-28
Delhi,506.17,71,Medium,2022-07-14,6,Butter,Mother Dairy,152.56,81.7,48,Frozen,206,Delhi,Retail,430,47,168,12464.152,85.36747798763639,17585.700465453097,2022-07-10,2022-08-27
Chennai,511.59,90,Large,2020-04-06,5,Butter,LocalFarm,711.05,99.28,24,Frozen,798,Chennai,Wholesale,481,65,132,70593.044,99.85625307168885,79685.28995120771,2020-04-04,2020-04-28
Bangalore,587.56,89,Large,2019-12-31,2,Curd,LocalFarm,747.54,68.67,44,Frozen,412,Chennai,Retail,173,21,123,51333.5718,67.7873826961706,27928.401670822284,2019-12-30,2020-02-12
Mumbai,920.92,49,Medium,2023-10-24,8,Milk,Mother Dairy,60.88,98.53,33,Cold,739,Mumbai,Wholesale,346,65,66,5998.5064,100.84565289659517,74524.93749058383,2023-10-23,2023-11-25
Mumbai,810.78,48,Medium,2019-04-14,3,Milk,Mother Dairy,306.99,56.42,9,Cold,868,Kolkata,Online,346,57,163,17320.3758,55.52247201380645,48193.505707984,2019-04-11,2019-04-20
Kolkata,478.57,61,Medium,2022-02-08,5,Milk,LocalFarm,137.51,23.77,29,Ambient,330,Bangalore,Online,162,57,143,3268.6126999999997,22.640226538805234,7471.274757805727,2022-02-04,2022-03-05
Bangalore,732.76,41,Small,2020-03-03,8,Curd,Nestle,998.32,25.8,14,Ambient,280,Bangalore,Wholesale,184,40,76,25756.656000000003,24.531312720665998,6868.76756178648,2020-03-02,2020-03-16
Bangalore,606.92,117,Large,2020-04-13,9,Paneer,LocalFarm,613.68,75.82,23,Cold,88,Bangalore,Wholesale,395,42,183,46529.21759999999,74.31853367899457,6540.030963751522,2020-04-12,2020-05-05
Mumbai,517.75,82,Small,2021-10-11,9,Milk,Nestle,492.45,10.08,45,Frozen,57,Mumbai,Wholesale,284,52,54,4963.896,9.7332319209307,554.7942194930499,2021-10-08,2021-11-22
Delhi,232.7,36,Large,2023-05-24,5,Paneer,Amul,489.85,69.57,52,Cold,85,Delhi,Retail,312,62,193,34078.864499999996,68.54358681761127,5826.204879496958,2023-05-22,2023-07-13
Kolkata,490.74,119,Large,2021-05-19,2,Cheese,Amul,966.54,23.61,5,Frozen,494,Delhi,Online,197,87,50,22820.0094,24.24666881204442,11977.854393149943,2021-05-18,2021-05-23
Bangalore,283.53,61,Small,2021-02-08,7,Curd,Nestle,676.86,98.59,51,Ambient,513,Bangalore,Wholesale,54,89,72,66731.6274,96.70742942542559,49610.91129524333,2021-02-05,2021-03-28
Mumbai,919.1,106,Small,2020-11-10,7,Paneer,Nestle,210.23,24.68,38,Ambient,766,Kolkata,Retail,420,83,52,5188.4764,24.827209674256057,19017.64261048014,2020-11-08,2020-12-16
Bangalore,368.64,72,Large,2021-03-15,8,Milk,LocalFarm,475.75,59.72,18,Ambient,486,Kolkata,Wholesale,70,83,94,28411.79,62.226123852247824,30241.896192192442,2021-03-13,2021-03-31
Kolkata,954.65,83,Medium,2021-06-04,8,Milk,Mother Dairy,785.49,70.25,29,Cold,83,Chennai,Online,197,56,90,55180.6725,71.64300733988031,5946.369609210066,2021-06-02,2021-07-01
Kolkata,556.4,72,Medium,2020-07-14,5,Paneer,Nestle,452.18,83.75,30,Cold,766,Kolkata,Online,52,98,103,37870.075,84.26722448021175,64548.6939518422,2020-07-12,2020-08-11
Chennai,649.97,26,Medium,2022-06-27,1,Paneer,Amul,344.06,51.33,25,Frozen,684,Bangalore,Online,466,42,118,17660.5998,53.21409708223522,36398.44240424889,2022-06-26,2022-07-21
Mumbai,565.79,58,Medium,2023-02-14,4,Cheese,LocalFarm,991.66,94.04,20,Ambient,199,Chennai,Wholesale,13,92,115,93255.70640000001,92.4473755702432,18397.027738478395,2023-02-13,2023-03-05
Kolkata,172.91,109,Large,2019-11-27,4,Curd,Amul,938.86,53.22,14,Frozen,697,Bangalore,Online,497,53,134,49966.1292,51.611929744699296,35973.51503205541,2019-11-24,2019-12-08
Chennai,407.03,90,Medium,2020-08-09,3,Butter,LocalFarm,944.48,32.69,36,Frozen,864,Delhi,Wholesale,20,53,93,30875.051199999998,33.49799708587188,28942.269482193304,2020-08-08,2020-09-13
Chennai,144.19,91,Medium,2019-07-20,8,Cheese,Mother Dairy,175.09,63.37,48,Cold,806,Bangalore,Retail,461,46,190,11095.4533,60.5740766920923,48822.70581382639,2019-07-19,2019-09-05
Bangalore,641.81,32,Medium,2020-03-29,3,Cheese,Mother Dairy,272.54,69.22,49,Cold,118,Chennai,Retail,359,99,146,18865.218800000002,68.69519060436572,8106.032491315155,2020-03-28,2020-05-16
Bangalore,474.53,107,Large,2023-03-08,5,Cheese,Amul,469.96,55.67,24,Frozen,556,Bangalore,Retail,13,23,68,26162.6732,54.48465487033596,30293.468107906792,2023-03-06,2023-03-30
Chennai,789.09,81,Small,2023-04-19,2,Milk,Nestle,840.52,75.99,13,Frozen,323,Mumbai,Wholesale,308,95,169,63871.114799999996,79.57159869488041,25701.62637844637,2023-04-18,2023-05-01
Bangalore,259.45,22,Medium,2021-04-05,6,Paneer,Nestle,749.99,47.86,38,Frozen,92,Chennai,Online,114,88,168,35894.5214,47.27177968782384,4349.003731279793,2021-04-01,2021-05-09
Kolkata,206.34,32,Large,2019-04-21,6,Curd,Amul,857.18,10.39,35,Cold,566,Kolkata,Online,351,82,77,8906.1002,10.559802863164755,5976.848420551251,2019-04-18,2019-05-23
Delhi,436.02,66,Large,2021-05-13,8,Milk,Nestle,924.73,33.81,23,Frozen,162,Delhi,Wholesale,217,97,165,31265.121300000003,33.02724642403076,5350.413920692983,2021-05-12,2021-06-04
Kolkata,930.26,71,Medium,2021-06-26,8,Cheese,Nestle,791.73,95.13,51,Cold,233,Kolkata,Retail,382,33,80,75317.2749,99.7264205710106,23236.25599304547,2021-06-22,2021-08-12
Chennai,724.9,63,Small,2023-11-08,1,Curd,Amul,298.68,78.69,35,Ambient,736,Bangalore,Retail,194,85,165,23503.1292,76.17500231391416,56064.80170304082,2023-11-04,2023-12-09
Chennai,447.98,29,Small,2023-04-17,5,Milk,Amul,321.17,27.06,34,Ambient,324,Kolkata,Wholesale,206,47,130,8690.8602,28.160537737845985,9124.0142270621,2023-04-15,2023-05-19
Kolkata,541.41,95,Small,2022-05-17,2,Butter,Mother Dairy,384.86,16.0,51,Frozen,433,Chennai,Online,340,40,157,6157.76,15.912594594410331,6890.153459379673,2022-05-14,2022-07-04
Bangalore,130.0,61,Large,2023-07-26,10,Cheese,Amul,337.92,41.57,28,Cold,748,Mumbai,Online,349,98,137,14047.334400000002,41.267684437398835,30868.227959174328,2023-07-24,2023-08-21
Bangalore,985.35,32,Medium,2023-06-30,5,Milk,Mother Dairy,286.64,85.27,37,Ambient,364,Kolkata,Online,431,29,114,24441.7928,86.98646149132888,31663.071982843714,2023-06-26,2023-08-02
Chennai,683.09,114,Medium,2019-02-02,10,Milk,Mother Dairy,764.86,19.54,22,Cold,763,Bangalore,Online,494,45,97,14945.3644,18.74534241085018,14302.69625947869,2019-02-01,2019-02-23
Mumbai,321.13,44,Large,2020-07-08,9,Cheese,LocalFarm,82.29,58.9,25,Cold,617,Kolkata,Retail,461,54,143,4846.881,59.17501746183145,36510.98577395001,2020-07-04,2020-07-29
Bangalore,606.52,76,Medium,2019-04-17,4,Butter,Nestle,741.97,34.75,35,Ambient,513,Kolkata,Online,110,53,100,25783.4575,33.77689803269198,17327.548690770986,2019-04-14,2019-05-19
Kolkata,154.01,43,Medium,2022-07-12,8,Paneer,Amul,832.39,75.36,43,Frozen,700,Chennai,Wholesale,439,21,127,62728.9104,72.77606904550323,50943.248331852265,2022-07-08,2022-08-20
Bangalore,967.54,42,Small,2019-08-14,1,Butter,Nestle,112.74,10.04,46,Frozen,144,Bangalore,Online,166,62,138,1131.9096,10.41898441714314,1500.333756068612,2019-08-10,2019-09-25
Kolkata,216.05,55,Medium,2020-05-01,8,Cheese,LocalFarm,108.75,34.95,45,Ambient,860,Bangalore,Retail,100,63,193,3800.8125000000005,36.68801731842942,31551.694893849297,2020-04-29,2020-06-13
Chennai,665.63,90,Medium,2019-06-28,6,Paneer,Amul,321.19,71.13,55,Cold,427,Mumbai,Online,168,63,130,22846.2447,74.48162324763253,31803.65312673909,2019-06-24,2019-08-18
Bangalore,283.18,54,Large,2022-05-30,8,Milk,Amul,247.89,59.21,47,Frozen,255,Chennai,Online,431,62,59,14677.5669,61.11159617602565,15583.45702488654,2022-05-28,2022-07-14
Kolkata,731.68,28,Large,2022-10-25,6,Butter,LocalFarm,602.08,80.1,8,Cold,898,Chennai,Wholesale,155,71,119,48226.608,83.46396478005038,74950.64037248524,2022-10-23,2022-10-31
Chennai,787.98,103,Small,2020-09-28,3,Butter,Nestle,691.68,24.19,30,Ambient,676,Delhi,Online,257,24,169,16731.7392,25.216170140714002,17046.131015122664,2020-09-27,2020-10-27
Mumbai,689.75,96,Large,2021-02-26,8,Paneer,Mother Dairy,652.43,57.79,37,Frozen,636,Mumbai,Online,277,38,104,37703.92969999999,55.919692875640905,35564.92466890762,2021-02-22,2021-03-31
Kolkata,633.77,24,Small,2019-06-16,5,Milk,LocalFarm,389.48,27.62,48,Frozen,363,Mumbai,Wholesale,454,49,58,10757.437600000001,26.47569916651451,9610.678797444767,2019-06-15,2019-08-02
Mumbai,897.85,87,Small,2020-10-24,10,Butter,LocalFarm,523.48,67.53,37,Frozen,795,Bangalore,Wholesale,235,68,32,35350.604400000004,65.00968312520847,51682.69808454073,2020-10-21,2020-11-27
Mumbai,124.7,75,Medium,2023-04-26,5,Paneer,Amul,657.99,21.82,53,Ambient,665,Bangalore,Wholesale,127,82,91,14357.3418,21.083802768892653,14020.728841313614,2023-04-24,2023-06-16
Delhi,364.37,48,Small,2019-10-27,7,Butter,Mother Dairy,163.45,23.38,24,Ambient,540,Mumbai,Wholesale,351,48,40,3821.461,24.133881053010725,13032.295768625792,2019-10-25,2019-11-18
Bangalore,285.87,27,Medium,2022-11-05,6,Milk,LocalFarm,268.04,39.54,45,Ambient,546,Chennai,Retail,122,95,102,10598.3016,41.28480078861622,22541.501230584454,2022-11-02,2022-12-17
Kolkata,988.61,79,Small,2019-02-04,9,Milk,Nestle,895.97,46.17,12,Cold,83,Delhi,Online,188,91,147,41366.9349,45.48593980308324,3775.333003655909,2019-02-02,2019-02-14
Mumbai,419.92,68,Large,2020-02-11,7,Curd,LocalFarm,375.21,54.87,40,Cold,709,Bangalore,Online,335,98,101,20587.772699999998,52.31505340428292,37091.37286363659,2020-02-10,2020-03-21
Delhi,745.98,41,Large,2023-03-06,3,Paneer,Nestle,811.1,62.26,12,Cold,521,Delhi,Retail,291,72,101,50499.086,61.06137170738217,31812.97465954611,2023-03-05,2023-03-17
Chennai,700.49,30,Large,2019-11-10,5,Cheese,Amul,288.44,52.19,35,Frozen,655,Mumbai,Wholesale,449,47,71,15053.683599999998,53.26583708135652,34889.12328828852,2019-11-07,2019-12-12
Kolkata,251.48,49,Small,2021-03-26,9,Butter,LocalFarm,89.56,14.11,59,Frozen,30,Chennai,Online,336,72,163,1263.6915999999999,14.734938736359974,442.0481620907992,2021-03-22,2021-05-20
Mumbai,277.05,101,Small,2021-01-12,10,Milk,Nestle,525.38,40.91,26,Frozen,626,Delhi,Wholesale,304,36,84,21493.295799999996,40.70419814740354,25480.828040274613,2021-01-10,2021-02-05
Bangalore,317.22,36,Medium,2020-12-27,2,Butter,Amul,897.86,15.52,46,Ambient,651,Kolkata,Wholesale,258,43,35,13934.7872,15.265576419545406,9937.890249124059,2020-12-23,2021-02-07
Delhi,440.57,11,Medium,2021-04-05,1,Butter,Amul,828.32,20.63,54,Ambient,449,Mumbai,Retail,495,95,50,17088.2416,20.946099820676043,9404.798819483543,2021-04-04,2021-05-28
Mumbai,272.61,106,Medium,2022-01-29,8,Cheese,Amul,290.29,18.35,51,Frozen,320,Chennai,Retail,278,84,146,5326.821500000001,17.819917547854143,5702.373615313326,2022-01-28,2022-03-20
Bangalore,68.67,89,Medium,2020-07-22,8,Milk,LocalFarm,914.44,24.23,23,Ambient,265,Mumbai,Wholesale,442,55,116,22156.881200000003,24.874067334642714,6591.6278436803195,2020-07-20,2020-08-12
Mumbai,885.42,48,Small,2022-05-23,2,Curd,Amul,505.73,83.16,24,Cold,608,Mumbai,Online,356,51,193,42056.5068,82.44510239122366,50126.622253863985,2022-05-20,2022-06-13
Kolkata,967.33,95,Small,2023-08-19,8,Paneer,Amul,96.55,66.48,27,Cold,113,Delhi,Wholesale,230,88,154,6418.644,69.65290023388279,7870.777726428755,2023-08-18,2023-09-14
Kolkata,374.49,65,Medium,2020-07-29,5,Butter,Nestle,76.53,55.61,28,Ambient,334,Delhi,Online,155,45,160,4255.8333,58.02413461321481,19380.060960813746,2020-07-25,2020-08-22
Kolkata,371.58,116,Small,2019-03-03,2,Cheese,Amul,510.86,75.9,47,Cold,172,Kolkata,Wholesale,108,75,41,38774.274000000005,77.15514901505756,13270.6856305899,2019-03-02,2019-04-18
Delhi,56.74,22,Small,2020-01-04,7,Cheese,LocalFarm,569.01,96.51,28,Cold,259,Bangalore,Wholesale,360,86,113,54915.1551,97.93816836290083,25365.985605991315,2020-01-02,2020-01-30
Kolkata,696.24,65,Small,2022-10-23,7,Paneer,Mother Dairy,125.92,47.59,40,Cold,159,Kolkata,Online,327,52,48,5992.532800000001,45.796572567859606,7281.655038289678,2022-10-20,2022-11-29
Bangalore,834.17,75,Small,2023-05-17,3,Paneer,Amul,926.13,43.07,13,Frozen,616,Chennai,Retail,32,58,52,39888.4191,42.12653143737206,25949.94336542119,2023-05-16,2023-05-29
Mumbai,189.28,87,Medium,2019-04-04,1,Milk,LocalFarm,732.31,98.0,44,Ambient,235,Chennai,Retail,125,77,153,71766.37999999999,101.54690754829421,23863.52327384914,2019-04-02,2019-05-16
Chennai,201.68,65,Medium,2023-02-01,4,Butter,Amul,811.22,79.42,20,Ambient,813,Mumbai,Wholesale,67,31,162,64427.0924,78.33181857390748,63683.76850058678,2023-01-31,2023-02-20
Bangalore,800.58,111,Small,2021-09-10,2,Butter,LocalFarm,604.82,79.94,31,Frozen,389,Delhi,Online,244,62,80,48349.3108,79.33346347052536,30860.717290034365,2021-09-09,2021-10-10
Bangalore,635.48,114,Large,2021-11-15,4,Paneer,Amul,680.37,63.99,49,Cold,312,Mumbai,Retail,326,91,176,43536.8763,66.16452783074573,20643.332683192668,2021-11-11,2021-12-30
Kolkata,92.62,37,Medium,2022-12-29,8,Curd,Nestle,418.47,55.63,41,Frozen,260,Bangalore,Online,266,32,41,23279.486100000002,55.22348823113229,14358.106940094396,2022-12-28,2023-02-07
Delhi,641.42,73,Medium,2022-02-18,2,Butter,Mother Dairy,695.33,59.55,17,Cold,554,Mumbai,Retail,487,92,121,41406.9015,61.63431949178613,34145.412998449516,2022-02-17,2022-03-06
Mumbai,343.47,80,Large,2019-02-19,1,Cheese,Mother Dairy,979.27,68.69,55,Frozen,340,Chennai,Online,135,24,194,67266.0563,65.7324079356584,22349.018698123855,2019-02-16,2019-04-12
Delhi,400.29,91,Medium,2021-06-01,3,Paneer,LocalFarm,665.33,43.92,6,Cold,64,Chennai,Wholesale,275,64,63,29221.293600000005,44.759202520315554,2864.5889613001955,2021-05-28,2021-06-03
Mumbai,781.24,73,Large,2021-02-02,10,Butter,LocalFarm,374.55,80.41,16,Frozen,605,Kolkata,Online,61,24,109,30117.5655,76.89615779605907,46522.175466615736,2021-01-30,2021-02-15
Mumbai,820.39,65,Large,2019-02-05,7,Milk,Mother Dairy,320.98,91.83,45,Frozen,633,Mumbai,Wholesale,170,42,92,29475.5934,94.4931846044488,59814.18585461609,2019-02-03,2019-03-20
Delhi,430.34,50,Small,2022-12-04,6,Paneer,Nestle,965.18,61.42,37,Cold,303,Delhi,Retail,102,54,146,59281.355599999995,61.74072311752842,18707.439104611112,2022-12-03,2023-01-09
Bangalore,949.8,109,Medium,2022-08-05,6,Cheese,Nestle,225.75,44.33,27,Cold,603,Bangalore,Online,91,73,161,10007.4975,44.57768289083601,26880.342783174114,2022-08-01,2022-08-28
Mumbai,436.14,50,Large,2022-11-03,7,Milk,Amul,815.89,72.6,18,Ambient,572,Bangalore,Retail,74,68,140,59233.613999999994,71.7047572866143,41015.121167943376,2022-10-31,2022-11-18
Delhi,783.24,109,Small,2019-04-10,8,Paneer,Nestle,492.0,26.39,43,Ambient,810,Delhi,Retail,113,89,83,12983.880000000001,27.454404520936237,22238.06766195835,2019-04-07,2019-05-20
Mumbai,509.68,117,Medium,2022-09-09,3,Paneer,Mother Dairy,471.57,97.17,53,Frozen,231,Bangalore,Wholesale,120,97,35,45822.4569,97.25837562727239,22466.684769899923,2022-09-07,2022-10-30
Chennai,902.66,13,Small,2019-11-25,3,Butter,Mother Dairy,760.16,69.22,34,Frozen,691,Delhi,Online,213,56,164,52618.2752,67.5617458892713,46685.16640948646,2019-11-23,2019-12-27
Bangalore,912.37,66,Small,2023-07-30,10,Milk,Nestle,190.64,16.08,59,Ambient,106,Delhi,Wholesale,483,41,63,3065.4911999999995,16.601200831604743,1759.7272881501028,2023-07-28,2023-09-25
Kolkata,133.05,39,Large,2020-12-06,8,Paneer,Nestle,492.98,57.68,50,Ambient,26,Kolkata,Online,197,27,97,28435.0864,60.264833531364914,1566.8856718154877,2020-12-03,2021-01-22
Mumbai,939.67,97,Medium,2019-08-09,7,Cheese,Mother Dairy,84.04,77.53,53,Cold,478,Mumbai,Retail,262,76,172,6515.6212000000005,75.53198325134933,36104.28799414498,2019-08-08,2019-09-30
Chennai,834.26,93,Small,2023-12-20,10,Milk,Mother Dairy,686.89,35.01,38,Ambient,202,Chennai,Retail,137,90,42,24048.0189,35.37853081927923,7146.463225494404,2023-12-18,2024-01-25
Kolkata,801.75,55,Large,2020-07-20,5,Butter,Mother Dairy,105.46,14.59,13,Frozen,347,Chennai,Online,167,79,66,1538.6614,14.719226240716884,5107.571505528758,2020-07-17,2020-07-30
Kolkata,240.87,65,Large,2021-09-22,4,Curd,Mother Dairy,132.92,54.02,19,Ambient,318,Mumbai,Retail,3,74,195,7180.3384,54.61216802973702,17366.669433456373,2021-09-20,2021-10-09
Mumbai,814.86,40,Small,2021-10-18,6,Paneer,Mother Dairy,852.59,85.03,28,Ambient,417,Bangalore,Retail,200,53,188,72495.7277,85.576179607252,35685.266896224086,2021-10-17,2021-11-14
